latitude,logitude,num_other_station(2km),weight,num_safezone(5km),weight(safezone),weight_sum,lpg_name
35.4669734,126.6984045,1,2,7,3,5,동신충전소
35.4672935,126.6732567,1,2,7,3,5,NH유통(주)고창고인돌(하)LPG충전소
35.4338947,126.6677952,0,1,7,3,4,고창에너지
35.435175,126.6919904,1,2,5,3,5,(유)광진가스충전소
35.4524438,126.6966194,2,3,7,3,6,(유)고창가스충전소
35.4624562,126.6740731,1,2,7,3,5,NH유통(주)고창고인돌(상)LPG충전소
35.98484699999999,126.7634559,1,2,41,5,7,금강엘피지충전소
35.98289,126.741064,2,3,72,5,8,에스케이(SK)군산충전소
35.972353,126.6748991,2,3,71,5,8,한양에너지엘피지충전소
35.983118,126.7885934,0,1,15,4,5,군산IC엘피지충전소
35.9488644,126.7469376,2,3,57,5,8,(유)용명에너지직영충전소
35.9592168,126.7306981,2,3,84,5,8,새군산충전소SK
35.9796956,126.831084,0,1,10,4,5,태경산업(주)군산(무안)충전소
36.0214593,126.7957028,0,1,5,3,4,태경산업(주)군산(서울)충전소
35.9629086,126.7604756,1,2,50,5,7,(유)가스온
35.97997,126.6720984,2,3,69,5,8,동일충전소
35.9754304,126.662362,2,3,61,5,8,군산공단충전소
35.979188,126.7372342,2,3,75,5,8,한신가스
35.9619265,126.6987734,1,2,82,5,7,에스제이상사국제충전소
35.9538252,126.7146696,2,3,85,5,8,새만금충전소
35.9495552,126.5936484,0,1,3,2,3,새만금군산충전소
35.9917399,126.7483481,3,4,56,5,9,연안충전소
35.8056006,126.8736128,4,5,0,1,6,김제오렌지충전소
35.8097306,126.9181033,1,2,0,1,3,김제엘피지충전소
35.7995661,126.8755965,2,3,0,1,4,(유)신흥가스
35.81322530000001,126.9213501,1,2,0,1,3,순동연합엘피지충전소
35.8154318,126.8900844,3,4,0,1,5,(주)동신산업동신LPG충전소김제점
35.8171765,126.8904585,3,4,0,1,5,제일충전소
35.7848995,127.0231171,1,2,2,2,4,우리LPG충전소
35.8104637,126.8720471,4,5,0,1,6,벽골제LPG충전소
35.8175434,126.995951,0,1,2,2,3,덕송엘피지충전소
35.8709889,126.9107922,0,1,0,1,2,김제DL충전소
35.7826799,127.0138717,1,2,2,2,4,(유)우주에너지
35.4265757,127.3879103,2,3,14,4,7,오토가스남원충전소
35.4288395,127.3833857,2,3,13,4,7,(유)유성에너지
35.4248892,127.3974124,2,3,13,4,7,남원엘피지충전소
35.4806836,127.5704781,1,2,2,2,4,대보유통(주)지리산(고서)충전소
35.3891064,127.3883355,1,2,11,4,6,(주)한국씨티에너지제이차
35.4806861,127.5666277,1,2,2,2,4,대보유통(주)지리산(옥포)충전소
35.4067732,127.3995757,0,1,14,4,5,지리산가스충전소
35.3887605,127.3881962,1,2,11,4,6,(주)한국씨티에너지제이차
35.371305,127.354909,0,1,10,4,5,대한가스텍
35.8160086,127.6463729,1,2,1,2,4,계룡산업(주)덕유산(상)LPG충전소
36.0128135,127.6770308,0,1,3,2,3,무주LPG충전소
